구시군,당선,2위
서울 종로구,김영종,이숙연(여)
서울 중구,서양호,최창식
서울 용산구,성장현,김경대
서울 성동구,정원오,정찬옥
서울 광진구,김선갑,전지명
서울 동대문구,유덕열,신재학
서울 중랑구,류경기,나진구
서울 성북구,이승로,민병웅
서울 강북구,박겸수,이성희
서울 도봉구,이동진,이재범
서울 노원구,오승록,임재혁
서울 은평구,김미경(여),홍인정(여)
서울 서대문구,문석진,안형준
서울 마포구,유동균,박강수
서울 양천구,김수영(여),강웅원
서울 강서구,노현송,김태성
서울 구로구,이성,강요식
서울 금천구,유성훈,강구덕
서울 영등포구,채현일,김춘수
서울 동작구,이창우,홍운철
서울 관악구,박준희,이행자(여)
서울 서초구,조은희(여),이정근(여)
서울 강남구,정순균,장영철
서울 송파구,박성수,박춘희(여)
서울 강동구,이정훈,임동규
부산 중구,윤종서,최진봉
부산 서구,공한수,정진영
부산 동구,최형욱,박삼석
부산 영도구,김철훈,황보승희(여)
부산 부산진구,서은숙(여),김영욱
부산 동래구,김우룡,전광우
부산 남구,박재범,박재본
부산 북구,정명희(여),황재관
부산 해운대구,홍순헌,백선기
부산 기장군,오규석,이현만
부산 사하구,김태석,이경훈
부산 금정구,정미영(여),원정희
부산 강서구,노기태,이종환
부산 연제구,이성문,이해동
부산 수영구,강성태,김혜경(여)
부산 사상구,김대근,송숙희(여)
대구 중구,류규하,노상석
대구 동구,배기철,서재헌
대구 서구,류한국,윤선진(여)
대구 남구,조재구,김현철
대구 북구,배광식,이헌태
대구 수성구,김대권,남칠우
대구 달서구,이태훈,김태용
대구 달성군,김문오,조성제
 인천 중구,홍인성,김정헌
인천 동구,허인환,이흥수
인천 남구,김정식,이영훈
인천 연수구,고남석,이재호
인천 남동구,이강호,김석우
인천 부평구,차준택,박윤배
인천 계양구,박형우,고영훈
인천 서구,이재현,강범석
인천 강화군,유천호,이상복
인천 옹진군,장정민,김정섭
광주 동구,임택,김성환
광주 서구,서대석,임우진
광주 남구,김병내,최진
광주 북구,문인,이은방
광주 광산구,김삼호,이정현
대전 동구,황인호,성선제
