Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,FL,2015,"6         ",Male,12,Right-Handed,171,28,,1,Car,10,0.606,47,"Martial Arts",936,856,1000,920,500,520,28,"Same length",75,70,"Index finger",June,Summer,No,No,"No favorite",Water,History,11,12,4,"Yes - broadband connection","In person",0,0,56,24,14,84,8,7,0,0,3,8,0,7,Some,"Graduate degree",Techno/Electronic,Fly,Healthy,Relative,Religious
USA,CA,2016,"12        ",Male,17,Right-Handed,176,28,155,2,Car,15,2,14,Baseball/Softball,1,6,3,2,4,5,28,"Same length",100,105,"Ring finger",January,Summer,No,No,Meat,Water,History,7,8,3,"Yes - broadband connection","In person",10,10,5,1,15,5,2,5,0,1,10,5,1,5,"A lot","Graduate degree","Rock and roll","Freeze time",Happy,"Sports person","Arts, culture, sports"
USA,GA,2015,"12        ",Female,17,Right-Handed,164.9,21,165,1,Car,10,.427,35,Baseball/Softball,250,300,300,250,1000,1000,21,,65,67,"Ring finger",April,Fall,Yes,No,Seafood,"Soft drink (caffeinated)","Social studies",7,6,3,"Yes - broadband connection","Text messaging",100,100,10,2,10,10,9,0,4,4,4,3,8,3,"A lot","Graduate degree",Country,Telepathy,Happy,Relative,Health
USA,NY,2014,"12        ",Female,18,Right-Handed,154.9,21,,2,Bus,20,0.431,44,Other,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NC,2017,"10        ",Male,16,Right-Handed,183,28,180,2,Bus,25,.339,44,Baseball/Softball,600,300,400,800,400,600,27,"Right foot",74,78,"Ring finger",December,Fall,Yes,No,Meat,Water,History,7,8,5,"Yes - broadband connection","Text messaging",300,450,10,0,21,10,7,3,5,6,20,0,0,2,"A lot","Graduate degree",Other,"Freeze time",Happy,Friend,Health
USA,SC,2011,"11        ",Female,17,Right-Handed,168,23,168,1,Car,7,.328,33,Other,749,743,647,,428,358,23,"Same length",67,68,"Ring finger",December,Fall,No,No,Soups,Water,Art,7,8,3,"Yes - broadband connection","In person",15,15,3,0,7,21,7,0,7,7,10,10,0,21,Some,"Graduate degree",Other,Fly,Happy,"Musician or singer","Wildlife, animals"
USA,MI,2017,"9         ",Male,14,Right-Handed,181,27,180,1,Car,15,6.69,43,Tennis,600,600,500,350,900,900,27,"Same length",110,120,"Ring finger",December,Fall,No,No,"Rice/Noodle dishes",Juice,English,7,9,4,"Yes - other",,10,10,10,1,6,9,20,10,8,5,4,12,0,4,Some,Other,"Rap/Hip hop","Freeze time",Rich,"Musician or singer",Health
USA,SC,2018,"11        ",Male,17,Right-Handed,178,26,170,1,Car,28,.423,41,Walking/Hiking,0,0,508,0,198,1000,288,"Left foot",80,86,"Ring finger",November,Winter,Yes,No,Seafood,Tea,English,7,8,4,"Yes - broadband connection","Cell phone",2,2,5,0,8,30,0,3,0,2,6,35,0,2,Some,Other,"Rap/Hip hop",Invisibility,Rich,"Business person","Wildlife, animals"
USA,NC,2013,"11        ",Female,15,Right-Handed,160,21.5,160,1,Car,10,.575,45,Other,642,759,1000,551,241,225,21,"Right foot",75,83,"Ring finger",July,Summer,Yes,No,Seafood,Tea,Science,8,10,3,"No internet connection","Text messaging",35,45,2,1,1,4,2,1,.5,.5,.5,1,0,3,Some,"Graduate degree","Heavy metal",Telepathy,Healthy,Relative,Environment
USA,PA,2013,"12        ",Male,17,Right-Handed,183,26,186,1,Bus,20,,.246,Baseball/Softball,500,450,700,900,950,1000,25,"Right foot",3,30,"Same length",May,Summer,Yes,No,Meat,"Sports drink","Physical education",8,11,4,"Yes - broadband connection","Text messaging",700,700,7,14,5,10,16,14,7,20,5,24,0,2,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Rich,"Sports person","Wildlife, animals"
