구 	단란주점	유흥주점
강남구	http://data.gangnam.go.kr/openinf/sheetview.jsp?infId=OA-11282	http://data.gangnam.go.kr/openinf/sheetview.jsp?infId=OA-11281
강동구	http://data.gd.go.kr/openinf/sheetview.jsp?infId=OA-10666	http://data.gd.go.kr/openinf/sheetview.jsp?infId=OA-10665
강북구	http://data.gangbuk.go.kr/openinf/sheetview.jsp?infId=OA-10897	http://data.gangbuk.go.kr/openinf/sheetview.jsp?infId=OA-10896
강서구	http://data.gangseo.seoul.kr/openinf/sheetview.jsp?infId=OA-9973	http://data.gangseo.seoul.kr/openinf/sheetview.jsp?infId=OA-9972
관악구	http://data.gwanak.go.kr/openinf/sheetview.jsp?infId=OA-11513	http://data.gwanak.go.kr/openinf/sheetview.jsp?infId=OA-11512
광진구	http://data.gwangjin.go.kr/openinf/sheetview.jsp?infId=OA-9896	http://data.gwangjin.go.kr/openinf/sheetview.jsp?infId=OA-9895
구로구	http://data.guro.go.kr/openinf/sheetview.jsp?infId=OA-2309	http://data.guro.go.kr/openinf/sheetview.jsp?infId=OA-2308
금천구	http://data.geumcheon.go.kr/openinf/sheetview.jsp?infId=OA-10127	http://data.geumcheon.go.kr/openinf/sheetview.jsp?infId=OA-10126
노원구	http://data.nowon.go.kr/openinf/sheetview.jsp?infId=OA-10974	http://data.nowon.go.kr/openinf/sheetview.jsp?infId=OA-10973
도봉구	http://data.dobong.go.kr/openinf/sheetview.jsp?infId=OA-10050	http://data.dobong.go.kr/openinf/sheetview.jsp?infId=OA-10049
동대문구	http://data.ddm.go.kr/openinf/sheetview.jsp?infId=OA-10358	http://data.ddm.go.kr/openinf/sheetview.jsp?infId=OA-10357
동작구	http://data.dongjak.go.kr/openinf/sheetview.jsp?infId=OA-10589	http://data.dongjak.go.kr/openinf/sheetview.jsp?infId=OA-10588
마포구	http://data.mapo.go.kr/openinf/sheetview.jsp?infId=OA-11359	http://data.mapo.go.kr/openinf/sheetview.jsp?infId=OA-11358
서대문구	http://data.sdm.go.kr/openinf/sheetview.jsp?infId=OA-2346	http://data.sdm.go.kr/openinf/sheetview.jsp?infId=OA-2345
서초구	http://data.seocho.go.kr/openinf/sheetview.jsp?infId=OA-11051	http://data.seocho.go.kr/openinf/sheetview.jsp?infId=OA-11050
성동구	http://data.sd.go.kr/openinf/sheetview.jsp?infId=OA-10743	http://data.sd.go.kr/openinf/sheetview.jsp?infId=OA-10742
성북구	http://data.sb.go.kr/openinf/sheetview.jsp?infId=OA-11128	http://data.sb.go.kr/openinf/sheetview.jsp?infId=OA-11127
송파구	http://data.songpa.seoul.kr/openinf/sheetview.jsp?infId=OA-11436	http://data.songpa.seoul.kr/openinf/sheetview.jsp?infId=OA-11435
양천구	http://data.yangcheon.go.kr/openinf/sheetview.jsp?infId=OA-10820	http://data.yangcheon.go.kr/openinf/sheetview.jsp?infId=OA-10819
영등포구	http://data.ydp.go.kr/openinf/sheetview.jsp?infId=OA-10435	http://data.ydp.go.kr/openinf/sheetview.jsp?infId=OA-10434
용산구	http://data.yongsan.go.kr/openinf/sheetview.jsp?infId=OA-11205	http://data.yongsan.go.kr/openinf/sheetview.jsp?infId=OA-11204
은평구	http://data.ep.go.kr/openinf/sheetview.jsp?infId=OA-10512	http://data.ep.go.kr/openinf/sheetview.jsp?infId=OA-10511
종로구	http://data.jongno.go.kr/openinf/sheetview.jsp?infId=OA-9819	http://data.jongno.go.kr/openinf/sheetview.jsp?infId=OA-9818
중구	http://data.junggu.seoul.kr/openinf/sheetview.jsp?infId=OA-10204	http://data.junggu.seoul.kr/openinf/sheetview.jsp?infId=OA-10203
중랑구	http://data.jungnang.go.kr/openinf/sheetview.jsp?infId=OA-10281	http://data.jungnang.go.kr/openinf/sheetview.jsp?infId=OA-10280
