구 	대부업체
강남구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-11328
강동구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10712
강북구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10943
강서구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10019
관악구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-11559
광진구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-9942
구로구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-2513
금천구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10173
노원구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-11020
도봉구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10096
동대문구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10404
동작구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10635
마포구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-11405
서대문구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-2519
서초구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-11097
성동구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10789
성북구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-11174
송파구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-11482
양천구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10866
영등포구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10481
용산구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-11251
은평구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10558
종로구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-9865
중구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10250
중랑구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10327
