구 	대부업체
강남구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-11283
강동구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10667
강북구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10898
강서구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-9974
관악구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-11514
광진구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-9897
구로구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-2310
금천구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10128
노원구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10975
도봉구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10051
동대문구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10359
동작구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10590
마포구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-11360
서대문구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-2347
서초구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-11052
성동구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10744
성북구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-11129
송파구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-11437
양천구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10821
영등포구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10436
용산구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-11206
은평구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10513
종로구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-9820
중구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10205
중랑구	http://data.seoul.go.kr/openinf/sheetview.jsp?infId=OA-10282
